                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0586,                 2.1465,                 1.1434,                0.84618,                0.75541,                0.84453,                0.64409,                0.72291,                0.84509,                 0.9791,              0.0033246,              0.0033246,              0.0033246
                      2,                0.89685,                0.88633,                 1.0212,                0.87724,                0.78997,                0.88001,                 0.6756,                0.71052,                0.70448,                0.95692,              0.0066546,              0.0066546,              0.0066546
                      3,                0.90672,                0.79811,                 1.0161,                0.89034,                0.83282,                0.90301,                0.70089,                0.72188,                0.63741,                0.96595,              0.0099814,              0.0099814,              0.0099814
                      4,                0.90624,                0.76908,                 1.0157,                0.89204,                0.83837,                0.90777,                0.70374,                0.72972,                  0.627,                0.96763,              0.0099851,              0.0099851,              0.0099851
                      5,                0.87752,                0.71267,                 1.0029,                0.90662,                0.85241,                0.91946,                0.71965,                0.70914,                0.59298,                0.95409,              0.0099851,              0.0099851,              0.0099851
                      6,                0.85383,                0.66924,                0.99051,                0.90712,                0.85371,                0.92515,                0.72565,                0.69863,                0.55963,                0.95382,              0.0099802,              0.0099802,              0.0099802
                      7,                0.84375,                0.64062,                0.98797,                0.91467,                0.87355,                 0.9365,                0.74492,                0.67221,                0.52386,                0.94188,              0.0099753,              0.0099753,              0.0099753
                      8,                0.82003,                0.61082,                0.97574,                0.92582,                0.89997,                0.94956,                0.76032,                0.64821,                0.48755,                 0.9275,              0.0099703,              0.0099703,              0.0099703
                      9,                0.80919,                0.59538,                0.97055,                0.92884,                0.89691,                0.94931,                0.76825,                0.64155,                0.47997,                0.92398,              0.0099654,              0.0099654,              0.0099654
                     10,                0.79661,                0.57508,                0.96348,                0.93314,                0.90323,                0.95317,                0.77371,                0.63814,                0.46722,                0.91793,              0.0099604,              0.0099604,              0.0099604
                     11,                0.78678,                0.56224,                0.96142,                0.93907,                0.91475,                 0.9593,                 0.7817,                0.62071,                0.45023,                0.91708,              0.0099555,              0.0099555,              0.0099555
                     12,                0.77382,                0.55107,                0.95742,                0.93987,                0.91964,                0.96251,                0.78598,                0.62671,                0.43604,                 0.9155,              0.0099505,              0.0099505,              0.0099505
                     13,                0.76751,                0.53711,                0.95271,                0.94545,                0.92394,                0.96667,                0.79774,                0.60226,                 0.4168,                0.90482,              0.0099456,              0.0099456,              0.0099456
                     14,                0.76109,                0.52568,                 0.9481,                 0.9441,                 0.9281,                  0.967,                0.79571,                0.60564,                0.42268,                0.90731,              0.0099406,              0.0099406,              0.0099406
                     15,                0.75435,                0.51787,                0.94644,                0.94541,                0.92769,                0.96901,                0.80484,                0.59303,                0.40745,                0.90467,              0.0099357,              0.0099357,              0.0099357
                     16,                0.74286,                 0.5099,                0.94235,                0.94571,                0.93388,                0.97021,                0.80653,                 0.5882,                0.39577,                0.90059,              0.0099307,              0.0099307,              0.0099307
                     17,                0.74002,                0.50276,                0.94019,                0.95109,                0.92855,                0.97035,                0.80884,                0.58401,                0.38986,                 0.8943,              0.0099258,              0.0099258,              0.0099258
                     18,                0.73051,                0.49518,                 0.9391,                0.94828,                0.94062,                0.97078,                0.81026,                0.58077,                0.38421,                0.89193,              0.0099208,              0.0099208,              0.0099208
                     19,                0.72974,                0.48729,                0.93488,                0.94931,                0.94174,                0.97296,                0.81776,                0.57268,                 0.3812,                0.89247,              0.0099159,              0.0099159,              0.0099159
                     20,                0.71874,                0.48365,                0.93118,                0.95362,                0.94776,                0.97661,                0.82465,                 0.5649,                0.36569,                0.88977,              0.0099109,              0.0099109,              0.0099109
                     21,                0.71663,                0.48095,                0.93093,                  0.952,                0.94373,                0.97585,                0.82065,                0.56488,                0.36964,                0.88606,               0.009906,               0.009906,               0.009906
                     22,                0.71329,                0.47549,                0.92931,                0.95241,                0.94838,                0.97706,                0.82466,                0.56051,                0.36454,                0.88733,               0.009901,               0.009901,               0.009901
                     23,                0.70924,                0.47009,                0.92743,                 0.9548,                0.94778,                0.97592,                0.82661,                 0.5602,                0.36399,                0.88556,              0.0098961,              0.0098961,              0.0098961
                     24,                0.70385,                0.46437,                0.92614,                0.94975,                  0.953,                0.97819,                0.82873,                0.55522,                0.35608,                0.88185,              0.0098911,              0.0098911,              0.0098911
                     25,                0.70235,                0.46041,                0.92609,                 0.9533,                0.95489,                0.97898,                0.83058,                0.54934,                0.34774,                0.88141,              0.0098861,              0.0098861,              0.0098861
                     26,                0.69325,                0.45904,                0.92223,                 0.9605,                 0.9506,                0.97988,                 0.8351,                0.54082,                0.34721,                0.87533,              0.0098812,              0.0098812,              0.0098812
                     27,                0.69241,                 0.4515,                0.92014,                0.95441,                0.95515,                0.97952,                0.83709,                0.53915,                0.33986,                0.87369,              0.0098763,              0.0098763,              0.0098763
                     28,                0.68494,                0.44984,                0.91997,                  0.959,                  0.954,                 0.9797,                0.83714,                0.54071,                0.34027,                0.87607,              0.0098713,              0.0098713,              0.0098713
                     29,                0.68009,                0.44297,                0.91527,                0.96061,                0.95329,                0.98083,                0.83971,                0.53227,                0.33799,                0.87423,              0.0098664,              0.0098664,              0.0098664
                     30,                0.67529,                0.43881,                0.91508,                0.96024,                0.95656,                0.98213,                0.84341,                0.52973,                0.33748,                0.87022,              0.0098614,              0.0098614,              0.0098614
                     31,                0.68002,                0.44041,                 0.9154,                0.96182,                0.95678,                0.98211,                0.84352,                0.52388,                0.32941,                0.86521,              0.0098565,              0.0098565,              0.0098565
                     32,                 0.6714,                0.43286,                0.90938,                0.96053,                0.96189,                0.98216,                0.84576,                0.52105,                0.32483,                0.86712,              0.0098515,              0.0098515,              0.0098515
                     33,                0.67166,                0.42933,                0.91096,                0.96226,                0.95987,                0.98172,                0.84675,                 0.5168,                0.32274,                0.86403,              0.0098466,              0.0098466,              0.0098466
                     34,                0.66898,                0.42949,                0.90962,                0.96155,                0.96289,                 0.9836,                0.84969,                0.51574,                0.32002,                0.86368,              0.0098416,              0.0098416,              0.0098416
                     35,                0.66391,                0.42557,                 0.9105,                0.96383,                0.96308,                0.98284,                0.84843,                0.51629,                0.31968,                0.86286,              0.0098367,              0.0098367,              0.0098367
                     36,                0.66613,                0.42425,                0.90934,                0.96639,                0.96117,                0.98433,                0.85253,                0.50972,                 0.3144,                0.86178,              0.0098317,              0.0098317,              0.0098317
                     37,                0.65429,                0.41868,                0.90469,                0.96618,                0.96318,                0.98397,                 0.8515,                 0.5081,                 0.3138,                0.86328,              0.0098268,              0.0098268,              0.0098268
                     38,                0.65674,                0.41886,                0.90738,                0.96423,                0.96624,                0.98449,                0.85545,                0.50501,                0.31584,                0.86015,              0.0098218,              0.0098218,              0.0098218
                     39,                0.65141,                0.41501,                0.90455,                 0.9627,                  0.966,                0.98491,                0.85554,                0.50252,                0.30888,                0.85952,              0.0098169,              0.0098169,              0.0098169
                     40,                0.64642,                0.41141,                0.90128,                0.96396,                0.96547,                0.98481,                0.85729,                0.49954,                0.30778,                 0.8584,              0.0098119,              0.0098119,              0.0098119
                     41,                0.64716,                0.41038,                0.90347,                0.96624,                0.96399,                0.98429,                 0.8582,                0.49577,                0.30367,                0.85612,               0.009807,               0.009807,               0.009807
                     42,                0.64558,                0.40659,                 0.9019,                0.96659,                0.96766,                0.98574,                0.86178,                0.49291,                0.30399,                0.85635,               0.009802,               0.009802,               0.009802
                     43,                0.64337,                0.40528,                 0.9011,                0.96794,                0.96779,                0.98669,                 0.8618,                0.49229,                0.29538,                0.85545,               0.009797,               0.009797,               0.009797
                     44,                0.64048,                0.40513,                0.89848,                 0.9696,                 0.9691,                0.98655,                0.86266,                0.49399,                0.29603,                0.85618,              0.0097921,              0.0097921,              0.0097921
                     45,                0.63808,                0.40132,                0.89944,                0.96825,                0.96849,                0.98633,                0.86521,                0.48616,                0.29431,                0.85118,              0.0097871,              0.0097871,              0.0097871
                     46,                0.63661,                0.40163,                0.89756,                 0.9689,                0.96986,                0.98661,                0.86366,                0.49038,                0.29419,                0.85558,              0.0097822,              0.0097822,              0.0097822
                     47,                0.63327,                 0.3985,                0.89624,                0.96921,                0.97085,                 0.9872,                0.86543,                 0.4889,                0.29492,                0.85402,              0.0097773,              0.0097773,              0.0097773
                     48,                0.63241,                0.39615,                 0.8967,                0.96861,                0.97006,                0.98728,                0.86772,                0.48154,                0.29022,                0.85105,              0.0097723,              0.0097723,              0.0097723
                     49,                0.63037,                0.39473,                0.89665,                0.96762,                0.97398,                0.98748,                0.87026,                0.47896,                0.29051,                0.85109,              0.0097674,              0.0097674,              0.0097674
                     50,                0.62844,                0.39229,                0.89495,                0.97004,                0.97274,                0.98801,                0.87041,                0.47654,                0.28509,                0.84811,              0.0097624,              0.0097624,              0.0097624
                     51,                0.62747,                0.39213,                0.89356,                0.96607,                0.97514,                0.98687,                0.87105,                0.47364,                0.28502,                0.84546,              0.0097575,              0.0097575,              0.0097575
                     52,                0.62782,                0.39296,                0.89605,                0.96932,                0.97279,                 0.9882,                0.87181,                0.47139,                0.28371,                0.84687,              0.0097525,              0.0097525,              0.0097525
                     53,                 0.6217,                0.39039,                0.89273,                0.97008,                0.97276,                 0.9874,                0.87146,                0.47152,                 0.2851,                0.84637,              0.0097476,              0.0097476,              0.0097476
                     54,                0.61859,                0.38726,                0.89081,                0.97053,                0.97227,                0.98804,                0.87439,                0.46774,                0.27833,                0.84529,              0.0097426,              0.0097426,              0.0097426
                     55,                0.61841,                0.38585,                0.89183,                0.97114,                0.97497,                0.98751,                 0.8739,                0.46729,                0.27749,                0.84533,              0.0097377,              0.0097377,              0.0097377
                     56,                0.61962,                0.38539,                0.89093,                0.97124,                0.97575,                0.98769,                0.87701,                0.46245,                0.27748,                0.84062,              0.0097327,              0.0097327,              0.0097327
                     57,                0.61129,                0.38153,                0.88856,                0.97019,                0.97744,                0.98832,                0.87728,                0.46036,                0.27238,                 0.8398,              0.0097278,              0.0097278,              0.0097278
                     58,                 0.6129,                0.38276,                0.89104,                0.97176,                0.97432,                0.98821,                0.87725,                0.46005,                0.27277,                0.84245,              0.0097228,              0.0097228,              0.0097228
                     59,                 0.6123,                0.38013,                0.88894,                0.97115,                0.97652,                0.98869,                0.87929,                0.45501,                0.26907,                   0.84,              0.0097179,              0.0097179,              0.0097179
                     60,                0.61156,                0.38017,                0.88839,                0.97211,                0.97737,                0.98845,                0.88141,                0.45298,                 0.2703,                0.83947,              0.0097129,              0.0097129,              0.0097129
                     61,                0.60655,                 0.3759,                0.88762,                0.97413,                0.97721,                  0.989,                 0.8815,                0.45219,                 0.2664,                0.83918,               0.009708,               0.009708,               0.009708
                     62,                0.60674,                0.37765,                0.88663,                0.97266,                0.97703,                0.98875,                0.88276,                0.45038,                0.26736,                0.83758,               0.009703,               0.009703,               0.009703
                     63,                0.60425,                0.37582,                0.88835,                0.96887,                0.98022,                0.98901,                0.88187,                0.45455,                0.26801,                0.83989,               0.009698,               0.009698,               0.009698
                     64,                 0.6088,                0.37863,                0.88779,                0.97524,                0.97598,                0.98957,                0.88308,                0.44902,                0.26558,                 0.8367,              0.0096931,              0.0096931,              0.0096931
                     65,                0.59872,                0.37222,                0.88456,                0.97704,                0.97782,                0.98958,                0.88518,                0.44615,                0.26175,                0.83707,              0.0096881,              0.0096881,              0.0096881
                     66,                0.59744,                0.37056,                 0.8841,                0.97686,                0.97725,                0.98962,                0.88569,                0.44433,                0.26143,                0.83495,              0.0096832,              0.0096832,              0.0096832
                     67,                0.59861,                0.37104,                0.88382,                0.97295,                0.98073,                0.98993,                0.88597,                0.44355,                0.25974,                0.83447,              0.0096783,              0.0096783,              0.0096783
                     68,                0.59554,                0.36828,                  0.882,                0.97593,                0.97916,                 0.9893,                0.88782,                0.44073,                0.25977,                0.83377,              0.0096733,              0.0096733,              0.0096733
                     69,                0.59664,                0.37109,                0.88389,                0.97613,                0.97876,                 0.9894,                0.88875,                0.43957,                0.25715,                0.83354,              0.0096684,              0.0096684,              0.0096684
                     70,                0.59443,                0.36643,                0.88248,                0.97462,                0.98005,                0.98942,                0.88892,                0.43777,                0.25768,                0.83175,              0.0096634,              0.0096634,              0.0096634
                     71,                0.59535,                 0.3678,                0.88368,                0.97673,                0.97983,                0.98979,                0.88947,                 0.4369,                0.25567,                0.83118,              0.0096585,              0.0096585,              0.0096585
                     72,                0.59206,                0.36652,                0.88178,                0.97817,                0.98024,                0.98953,                0.88905,                0.43697,                0.25611,                0.83192,              0.0096535,              0.0096535,              0.0096535
                     73,                0.59118,                0.36808,                0.88217,                0.97465,                0.98249,                0.99011,                0.89051,                 0.4337,                0.25353,                0.83032,              0.0096486,              0.0096486,              0.0096486
                     74,                0.59238,                0.36557,                0.88037,                0.97502,                0.98134,                0.99004,                0.89184,                0.43018,                0.25109,                0.82976,              0.0096436,              0.0096436,              0.0096436
