                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93629,                 1.7523,                 1.0972,                0.88543,                0.81626,                0.89493,                0.70658,                0.63369,                0.64734,                0.94143,              0.0033246,              0.0033246,              0.0033246
                      2,                0.80115,                0.71819,                0.99342,                0.90641,                0.86847,                0.92676,                0.74524,                0.62708,                 0.5249,                0.92783,              0.0066557,              0.0066557,              0.0066557
                      3,                0.82211,                0.68253,                0.99969,                0.90498,                0.85735,                0.92268,                0.72864,                 0.6641,                0.55054,                0.95724,              0.0099847,              0.0099847,              0.0099847
                      4,                0.83701,                0.67782,                 1.0097,                0.91876,                0.85831,                0.93185,                0.74398,                0.66412,                0.54384,                0.95372,              0.0099901,              0.0099901,              0.0099901
                      5,                0.81355,                0.62762,                 1.0026,                0.92123,                0.87995,                0.93965,                0.75458,                0.64657,                0.49834,                0.95782,              0.0099901,              0.0099901,              0.0099901
                      6,                0.79482,                 0.5892,                0.99337,                 0.9234,                0.91117,                0.95306,                0.77759,                0.61367,                 0.4515,                0.93284,              0.0099868,              0.0099868,              0.0099868
                      7,                0.78139,                0.56367,                0.98975,                0.93229,                 0.9062,                0.95339,                0.77761,                0.62413,                 0.4641,                0.94107,              0.0099835,              0.0099835,              0.0099835
                      8,                0.76211,                0.54079,                0.97965,                0.93353,                0.90464,                0.95335,                0.78322,                0.60408,                 0.4376,                 0.9283,              0.0099802,              0.0099802,              0.0099802
                      9,                 0.7508,                 0.5246,                 0.9729,                0.93395,                0.91993,                0.96043,                0.79326,                0.58786,                0.41868,                0.92027,              0.0099769,              0.0099769,              0.0099769
                     10,                0.73793,                0.50667,                0.96555,                0.93517,                0.92339,                 0.9622,                0.80075,                0.59259,                0.40837,                 0.9233,              0.0099736,              0.0099736,              0.0099736
                     11,                0.72792,                0.49369,                0.96421,                0.94491,                0.92945,                 0.9682,                0.80653,                0.57854,                0.38913,                0.91703,              0.0099703,              0.0099703,              0.0099703
                     12,                0.71806,                0.48309,                0.96134,                0.94645,                0.93803,                0.97137,                0.81167,                0.56574,                0.38083,                0.90932,               0.009967,               0.009967,               0.009967
