                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.174,                 2.4581,                 1.1856,                0.79281,                0.70064,                0.78347,                0.56017,                0.90817,                 1.0797,                 1.0573,              0.0033167,              0.0033167,              0.0033167
                      2,                0.98604,                 1.0074,                 1.0556,                 0.8869,                0.80758,                0.89153,                0.67144,                0.84095,                0.73472,                0.98105,              0.0066434,              0.0066434,              0.0066434
                      3,                0.96036,                0.85176,                 1.0255,                0.87973,                0.79556,                0.88835,                0.66254,                0.85533,                0.76175,                0.99322,              0.0099636,              0.0099636,              0.0099636
                      4,                0.95705,                0.78027,                 1.0164,                0.89431,                0.85597,                0.92082,                0.69848,                0.82905,                0.63611,                0.96845,              0.0099703,              0.0099703,              0.0099703
                      5,                0.92869,                0.72259,                 1.0045,                0.91152,                0.84901,                0.92339,                0.70562,                0.80316,                0.60806,                0.96383,              0.0099703,              0.0099703,              0.0099703
                      6,                0.89856,                0.67909,                0.99048,                0.92184,                0.87395,                0.94052,                0.72834,                 0.7782,                0.55812,                0.95438,              0.0099604,              0.0099604,              0.0099604
                      7,                0.87768,                0.65059,                0.98303,                0.91985,                0.88783,                0.94698,                0.74113,                0.75807,                0.54006,                0.94295,              0.0099505,              0.0099505,              0.0099505
                      8,                0.86437,                0.63101,                0.97836,                0.92282,                0.89058,                  0.949,                0.73765,                0.75873,                0.53258,                0.94578,              0.0099406,              0.0099406,              0.0099406
                      9,                0.85089,                0.60939,                0.96968,                  0.935,                0.90739,                0.95833,                0.76124,                0.72182,                0.49937,                 0.9285,              0.0099307,              0.0099307,              0.0099307
                     10,                0.84005,                0.58645,                0.96565,                0.93533,                0.91218,                0.96198,                0.76518,                0.71645,                0.49326,                0.92508,              0.0099208,              0.0099208,              0.0099208
                     11,                 0.8276,                0.57973,                0.96082,                 0.9406,                0.91407,                0.96345,                0.77292,                0.70323,                0.47086,                0.91917,              0.0099109,              0.0099109,              0.0099109
                     12,                0.81574,                0.56037,                 0.9547,                0.94567,                0.91939,                0.96732,                0.77439,                0.70303,                0.46387,                0.91993,               0.009901,               0.009901,               0.009901
                     13,                0.80331,                0.55208,                0.95156,                0.93965,                0.92735,                0.96907,                0.77833,                0.70154,                0.46215,                0.91899,              0.0098911,              0.0098911,              0.0098911
                     14,                0.79792,                0.54285,                0.94918,                0.95104,                0.92816,                0.97087,                0.78678,                0.67877,                0.44384,                0.90824,              0.0098812,              0.0098812,              0.0098812
                     15,                0.78776,                0.53033,                0.94226,                0.94913,                0.93498,                0.97358,                 0.7844,                0.69266,                0.43538,                0.91591,              0.0098713,              0.0098713,              0.0098713
                     16,                0.77984,                0.52182,                0.94319,                0.94441,                0.93882,                0.97517,                0.79492,                0.67343,                0.42777,                0.90497,              0.0098614,              0.0098614,              0.0098614
                     17,                0.77563,                0.51165,                0.93772,                  0.954,                 0.9391,                0.97697,                0.79804,                0.66733,                0.41042,                0.90353,              0.0098515,              0.0098515,              0.0098515
                     18,                0.76485,                0.50833,                0.93541,                0.95365,                0.93846,                0.97864,                0.80194,                0.65574,                 0.4105,                0.90077,              0.0098416,              0.0098416,              0.0098416
                     19,                0.75911,                0.49774,                0.93348,                0.95722,                0.94279,                0.97976,                0.80831,                0.65241,                0.40198,                0.89967,              0.0098317,              0.0098317,              0.0098317
                     20,                 0.7535,                0.49109,                0.92752,                0.95818,                0.94401,                0.98074,                0.80498,                 0.6547,                0.39941,                0.89849,              0.0098218,              0.0098218,              0.0098218
                     21,                0.74897,                0.48807,                 0.9325,                0.95966,                0.93548,                0.97829,                0.80545,                0.65551,                0.40208,                0.90085,              0.0098119,              0.0098119,              0.0098119
                     22,                0.74359,                0.47972,                0.92679,                0.96194,                0.94573,                0.98177,                0.81155,                0.64396,                0.39426,                0.89586,               0.009802,               0.009802,               0.009802
                     23,                0.73627,                0.47724,                0.92405,                0.95167,                0.95477,                0.98292,                0.81685,                0.63915,                0.38428,                0.89393,              0.0097921,              0.0097921,              0.0097921
                     24,                0.73256,                0.47276,                0.92333,                0.95963,                0.95481,                0.98308,                0.81487,                0.63956,                0.38494,                0.89141,              0.0097822,              0.0097822,              0.0097822
                     25,                0.73151,                0.46804,                0.92384,                0.95795,                0.95485,                0.98278,                0.81929,                0.63049,                0.38229,                  0.892,              0.0097723,              0.0097723,              0.0097723
                     26,                 0.7224,                0.46058,                0.91996,                0.96043,                0.95549,                0.98142,                0.81932,                0.62977,                0.38018,                0.88981,              0.0097624,              0.0097624,              0.0097624
                     27,                0.71754,                 0.4547,                0.91842,                 0.9609,                0.95899,                0.98378,                0.82373,                0.62883,                0.37176,                0.88607,              0.0097525,              0.0097525,              0.0097525
                     28,                0.71775,                0.45658,                0.91698,                0.96377,                0.95951,                0.98478,                0.82417,                0.62037,                0.36528,                0.88171,              0.0097426,              0.0097426,              0.0097426
                     29,                0.71321,                0.45119,                0.91544,                0.96379,                0.96234,                0.98621,                0.82899,                0.61487,                0.36057,                0.88028,              0.0097327,              0.0097327,              0.0097327
                     30,                0.70562,                0.44696,                0.91187,                0.96485,                0.96039,                0.98601,                0.83294,                0.60625,                0.35366,                0.87845,              0.0097228,              0.0097228,              0.0097228
                     31,                0.69995,                0.44114,                   0.91,                0.96964,                0.95663,                0.98726,                0.83095,                0.61053,                0.35328,                0.87842,              0.0097129,              0.0097129,              0.0097129
                     32,                0.69771,                 0.4379,                0.91122,                0.96318,                0.96218,                0.98541,                0.82982,                0.61009,                0.35731,                0.88059,               0.009703,               0.009703,               0.009703
                     33,                0.69224,                 0.4359,                0.90892,                0.96314,                0.96233,                 0.9857,                0.83154,                0.60899,                0.35803,                0.87883,              0.0096931,              0.0096931,              0.0096931
                     34,                0.69251,                0.43444,                0.90587,                0.96636,                0.96449,                0.98676,                0.83751,                0.59612,                0.34579,                0.87294,              0.0096832,              0.0096832,              0.0096832
                     35,                0.69224,                0.43037,                0.90778,                0.96986,                0.96563,                0.98705,                0.83744,                0.59956,                0.34331,                0.87671,              0.0096733,              0.0096733,              0.0096733
                     36,                0.68257,                0.42744,                0.90338,                0.96408,                0.96094,                0.98578,                0.83563,                0.60035,                0.35361,                0.87895,              0.0096634,              0.0096634,              0.0096634
                     37,                0.68139,                0.43035,                0.90445,                0.97213,                0.96189,                0.98754,                0.83801,                0.59421,                0.34184,                0.87362,              0.0096535,              0.0096535,              0.0096535
                     38,                0.68026,                0.42546,                0.90167,                0.97073,                0.96753,                 0.9878,                0.84272,                0.59271,                0.33917,                0.87166,              0.0096436,              0.0096436,              0.0096436
                     39,                0.67687,                0.42323,                0.90259,                0.96685,                0.96913,                0.98874,                0.84165,                0.59194,                0.33607,                 0.8709,              0.0096337,              0.0096337,              0.0096337
                     40,                0.67501,                0.42113,                0.90344,                0.97237,                0.96573,                0.98792,                0.84176,                0.58669,                0.33946,                0.87063,              0.0096238,              0.0096238,              0.0096238
                     41,                0.67048,                0.41754,                0.90051,                0.97284,                0.96937,                0.98862,                0.84661,                0.58292,                0.33121,                0.86946,              0.0096139,              0.0096139,              0.0096139
