                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0572,                 2.0703,                 1.1412,                0.84238,                0.75621,                0.84332,                0.64121,                0.72875,                0.85151,                0.97398,              0.0033256,              0.0033256,              0.0033256
                      2,                0.89587,                0.87298,                 1.0196,                 0.8964,                0.84642,                0.91219,                 0.7155,                0.69328,                0.61374,                0.94492,              0.0066556,              0.0066556,              0.0066556
                      3,                 0.8952,                0.78429,                 1.0101,                0.89088,                0.83451,                 0.9053,                0.70147,                0.73233,                0.65543,                0.95934,              0.0099823,              0.0099823,              0.0099823
                      4,                0.90211,                0.75756,                 1.0137,                0.88903,                0.83242,                0.90529,                0.69834,                0.74316,                0.63689,                0.97019,              0.0099851,              0.0099851,              0.0099851
                      5,                0.87602,                0.69963,                 1.0018,                0.90141,                0.86922,                 0.9279,                0.72918,                0.70838,                0.56658,                0.95194,              0.0099851,              0.0099851,              0.0099851
                      6,                0.85333,                0.65301,                0.99146,                 0.9218,                0.89378,                  0.947,                0.75786,                0.66662,                0.50907,                0.93283,              0.0099802,              0.0099802,              0.0099802
                      7,                 0.8306,                0.62396,                0.98098,                0.93026,                0.89295,                0.94946,                0.76546,                  0.659,                0.48514,                0.92663,              0.0099753,              0.0099753,              0.0099753
                      8,                0.81396,                0.60441,                0.97526,                0.93713,                 0.8995,                0.95305,                0.77623,                0.64956,                0.46582,                0.92246,              0.0099703,              0.0099703,              0.0099703
                      9,                0.79914,                0.58311,                0.96824,                0.93602,                0.90901,                0.95885,                0.77938,                0.64653,                0.46378,                0.92423,              0.0099654,              0.0099654,              0.0099654
                     10,                0.78785,                0.56441,                0.96344,                0.93753,                0.91786,                0.96068,                0.78483,                0.63477,                0.44503,                0.91343,              0.0099604,              0.0099604,              0.0099604
                     11,                0.77905,                0.55191,                0.95971,                0.93816,                0.92289,                0.96295,                 0.7909,                0.63001,                0.43947,                0.91225,              0.0099555,              0.0099555,              0.0099555
                     12,                0.76885,                0.54151,                0.95436,                0.93978,                0.92518,                0.96642,                0.79898,                0.61742,                0.42713,                 0.9089,              0.0099505,              0.0099505,              0.0099505
                     13,                0.75756,                0.52913,                0.94975,                0.94404,                0.93251,                 0.9699,                0.80382,                0.60989,                0.40562,                 0.9074,              0.0099456,              0.0099456,              0.0099456
                     14,                0.75054,                 0.5182,                0.94515,                0.95157,                0.93144,                0.97072,                0.80922,                0.59673,                0.39687,                0.89761,              0.0099406,              0.0099406,              0.0099406
                     15,                0.74786,                0.51368,                0.94594,                0.95092,                0.93034,                 0.9708,                0.80981,                0.60095,                0.39913,                0.90178,              0.0099357,              0.0099357,              0.0099357
                     16,                0.73878,                0.50416,                0.94178,                0.94843,                0.93198,                0.97232,                0.81335,                0.58374,                0.38494,                0.89127,              0.0099307,              0.0099307,              0.0099307
                     17,                0.72948,                 0.4938,                0.93836,                0.94657,                0.93541,                0.97093,                0.81084,                0.59233,                0.39317,                0.89498,              0.0099258,              0.0099258,              0.0099258
                     18,                0.72874,                0.48787,                0.93621,                0.95639,                0.94257,                0.97583,                0.81876,                 0.5761,                0.37201,                0.88983,              0.0099208,              0.0099208,              0.0099208
                     19,                0.71875,                0.48057,                0.93528,                0.95133,                 0.9414,                0.97429,                0.81991,                0.58087,                0.37765,                0.89033,              0.0099159,              0.0099159,              0.0099159
